-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/21/2022 through 12/21/2023 
Location: Latitude  -22.9478   Longitude -47.1487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 755.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2022,12,24,22,91.12,0.0,92.98,4.41,121.52
2022,12,24,23,91.38,0.0,92.93,4.26,116.0
2022,12,25,0,92.12,0.0,92.86,4.06,104.04
2022,12,25,1,93.88,0.01,92.83,3.72,92.89
2022,12,25,2,92.62,0.01,92.81,3.53,72.89
2022,12,25,3,92.25,0.01,92.81,3.12,57.78
2022,12,25,4,94.25,0.01,92.84,2.47,49.75
2022,12,25,5,96.5,0.01,92.9,1.98,47.07
2022,12,25,6,88.38,0.01,92.96,2.45,47.2
2022,12,25,7,73.88,0.02,92.99,2.77,35.93
2022,12,25,8,60.69,0.12,92.99,3.09,30.19
2022,12,25,9,52.75,0.22,92.95,2.94,35.8
2022,12,25,10,47.56,0.21,92.89,2.81,40.83
2022,12,25,11,44.5,0.24,92.81,2.46,43.84
2022,12,25,12,43.06,0.3,92.74,1.96,48.39
2022,12,25,13,43.0,0.4,92.68,1.37,54.5
2022,12,25,14,44.5,0.51,92.64,0.6,75.6
2022,12,25,15,48.12,0.88,92.62,0.65,150.34
2022,12,25,16,56.25,1.55,92.64,1.35,158.63
2022,12,25,17,67.31,2.53,92.7,1.97,151.91
2022,12,25,18,80.38,3.3,92.76,2.18,145.23
2022,12,25,19,88.31,2.19,92.81,2.2,134.71
2022,12,25,20,92.38,0.78,92.84,2.86,126.34
2022,12,25,21,94.25,0.36,92.88,4.1,117.49
2022,12,25,22,94.94,0.16,92.9,4.85,110.74
2022,12,25,23,94.69,0.04,92.88,4.94,107.95
2022,12,26,0,94.38,0.02,92.81,4.72,104.66
2022,12,26,1,94.56,0.02,92.76,4.18,99.02
2022,12,26,2,95.06,0.03,92.75,3.5,90.77
2022,12,26,3,95.56,0.05,92.74,2.99,81.42
2022,12,26,4,96.12,0.08,92.76,2.51,73.71
2022,12,26,5,96.69,0.09,92.81,2.05,64.02
2022,12,26,6,94.62,0.11,92.85,2.39,52.83
2022,12,26,7,92.62,0.24,92.87,2.27,32.65
2022,12,26,8,88.56,0.47,92.88,2.87,354.54
2022,12,26,9,84.06,2.19,92.89,3.78,342.69
2022,12,26,10,79.19,2.71,92.88,4.47,341.47
2022,12,26,11,76.12,2.0,92.84,4.76,341.71
2022,12,26,12,74.38,1.3,92.78,4.53,339.72
2022,12,26,13,74.19,1.17,92.72,3.98,338.32
2022,12,26,14,74.5,1.05,92.66,3.41,337.78
2022,12,26,15,73.5,0.75,92.61,3.04,337.65
2022,12,26,16,74.0,0.65,92.6,2.62,339.02
2022,12,26,17,80.75,0.51,92.63,1.77,346.7
2022,12,26,18,88.75,0.41,92.66,1.33,1.35
2022,12,26,19,93.44,0.39,92.7,1.19,27.41
2022,12,26,20,95.19,0.36,92.73,1.45,49.8
2022,12,26,21,95.88,0.3,92.76,1.76,62.87
2022,12,26,22,96.44,0.26,92.77,1.8,65.1
2022,12,26,23,96.81,0.21,92.76,1.58,51.83
2022,12,27,0,97.06,0.23,92.68,1.8,39.01
2022,12,27,1,97.31,0.39,92.63,1.98,30.42
2022,12,27,2,97.94,0.8,92.69,1.68,6.13
2022,12,27,3,97.75,0.74,92.7,2.51,357.68
2022,12,27,4,97.31,0.14,92.71,3.65,358.65
2022,12,27,5,97.38,0.03,92.78,3.65,356.68
2022,12,27,6,95.75,0.02,92.85,4.23,354.7
2022,12,27,7,89.5,0.03,92.9,4.99,347.88
2022,12,27,8,75.5,0.04,92.92,5.34,340.61
2022,12,27,9,66.88,0.08,92.93,5.03,336.26
2022,12,27,10,63.19,0.11,92.91,4.61,333.09
2022,12,27,11,61.19,0.18,92.87,4.27,330.62
2022,12,27,12,59.75,0.27,92.82,3.9,324.88
2022,12,27,13,58.31,0.39,92.75,3.63,319.89
2022,12,27,14,57.88,0.34,92.68,3.46,320.05
2022,12,27,15,59.69,0.24,92.63,3.22,324.88
2022,12,27,16,64.06,0.16,92.62,2.82,330.81
2022,12,27,17,70.75,0.11,92.64,2.2,335.17
2022,12,27,18,83.62,0.13,92.68,1.39,337.48
2022,12,27,19,89.69,0.28,92.73,1.12,352.78
2022,12,27,20,89.25,0.58,92.77,1.01,22.38
2022,12,27,21,90.5,1.17,92.8,1.09,43.84
2022,12,27,22,92.44,2.72,92.81,1.12,44.15
2022,12,27,23,94.0,4.48,92.76,1.07,24.69
2022,12,28,0,96.06,5.77,92.7,1.23,10.95
2022,12,28,1,97.12,6.82,92.64,1.53,11.2
2022,12,28,2,97.31,6.67,92.6,1.77,7.09
2022,12,28,3,97.31,4.72,92.6,1.94,358.84
2022,12,28,4,97.31,2.06,92.63,2.16,354.39
2022,12,28,5,97.0,0.61,92.7,2.43,356.49
2022,12,28,6,95.12,0.17,92.77,3.82,359.65
2022,12,28,7,91.69,0.03,92.8,5.1,358.07
2022,12,28,8,82.75,0.01,92.81,6.51,352.13
2022,12,28,9,73.94,0.01,92.79,7.53,347.36
2022,12,28,10,69.25,0.07,92.75,7.91,343.43
2022,12,28,11,67.38,0.12,92.7,7.99,341.18
2022,12,28,12,66.38,0.17,92.64,8.24,339.01
2022,12,28,13,66.12,0.19,92.57,8.53,338.34
2022,12,28,14,67.31,0.23,92.51,8.63,338.15
2022,12,28,15,69.81,0.2,92.48,8.47,338.17
2022,12,28,16,74.44,0.22,92.48,8.05,340.14
2022,12,28,17,80.75,0.27,92.52,7.01,343.48
2022,12,28,18,87.69,0.42,92.59,5.59,347.81
2022,12,28,19,92.69,0.43,92.66,4.69,351.18
2022,12,28,20,94.94,0.41,92.72,4.24,350.02
2022,12,28,21,95.69,0.49,92.77,4.32,344.78
2022,12,28,22,96.19,0.53,92.8,4.42,339.2
2022,12,28,23,96.75,0.39,92.79,4.11,336.46
2022,12,29,0,97.06,0.18,92.76,3.96,335.56
2022,12,29,1,97.12,0.05,92.74,3.89,334.52
2022,12,29,2,97.38,0.17,92.71,3.43,339.58
2022,12,29,3,97.62,0.39,92.68,2.82,341.57
2022,12,29,4,97.88,0.47,92.69,2.44,350.78
2022,12,29,5,97.81,0.72,92.75,2.56,355.27
2022,12,29,6,96.56,0.73,92.85,3.59,354.5
2022,12,29,7,94.19,0.73,92.9,4.42,347.24
2022,12,29,8,89.81,0.85,92.92,4.94,343.08
2022,12,29,9,84.06,1.1,92.93,5.29,339.08
2022,12,29,10,80.69,1.19,92.91,5.21,339.72
2022,12,29,11,78.88,1.23,92.87,5.26,341.19
2022,12,29,12,76.81,1.36,92.83,5.4,340.57
2022,12,29,13,75.44,1.34,92.79,5.18,337.03
2022,12,29,14,75.12,1.29,92.76,4.6,330.82
2022,12,29,15,74.62,0.97,92.74,3.93,324.38
2022,12,29,16,75.88,0.9,92.73,3.23,321.77
2022,12,29,17,81.69,0.98,92.75,2.27,325.38
2022,12,29,18,89.06,0.83,92.79,1.47,337.12
2022,12,29,19,88.94,0.76,92.82,1.15,16.21
2022,12,29,20,91.38,0.55,92.83,1.27,53.48
2022,12,29,21,94.88,0.21,92.87,1.52,70.54
2022,12,29,22,96.38,0.15,92.91,1.59,79.24
2022,12,29,23,96.69,0.11,92.91,1.5,96.27
2022,12,30,0,97.38,0.13,92.88,1.54,121.26
2022,12,30,1,97.88,0.12,92.84,1.7,140.6
2022,12,30,2,97.69,0.06,92.84,1.92,146.12
2022,12,30,3,97.56,0.05,92.86,2.36,140.51
2022,12,30,4,97.38,0.06,92.89,2.85,133.89
2022,12,30,5,97.25,0.06,92.95,3.35,125.99
2022,12,30,6,95.0,0.03,93.02,4.3,117.87
2022,12,30,7,88.94,0.01,93.05,4.54,110.12
2022,12,30,8,79.38,0.01,93.08,4.1,104.35
2022,12,30,9,72.44,0.04,93.07,3.18,104.24
2022,12,30,10,66.94,0.11,93.05,2.32,111.37
2022,12,30,11,63.06,0.2,93.0,1.77,127.48
2022,12,30,12,60.62,0.35,92.93,1.66,147.13
2022,12,30,13,59.56,0.46,92.87,1.88,158.24
2022,12,30,14,59.44,0.52,92.82,2.26,160.19
2022,12,30,15,60.81,0.5,92.79,2.75,156.57
2022,12,30,16,64.5,0.42,92.78,3.43,147.07
2022,12,30,17,73.38,0.28,92.82,4.25,137.53
2022,12,30,18,84.31,0.14,92.89,4.73,132.79
2022,12,30,19,92.25,0.1,92.97,5.16,128.61
2022,12,30,20,95.44,0.14,92.99,5.03,123.47
2022,12,30,21,95.81,0.16,93.0,4.57,119.85
2022,12,30,22,96.25,0.1,92.97,4.1,113.44
2022,12,30,23,96.38,0.05,92.91,3.66,102.94
2022,12,31,0,96.38,0.04,92.84,3.27,90.14
2022,12,31,1,96.56,0.04,92.8,2.86,77.52
2022,12,31,2,96.94,0.05,92.78,2.34,65.49
2022,12,31,3,97.62,0.06,92.79,2.0,55.5
2022,12,31,4,98.25,0.07,92.85,1.84,50.35
2022,12,31,5,97.94,0.1,92.93,1.85,52.55
2022,12,31,6,94.06,0.29,93.0,2.39,58.65
2022,12,31,7,87.5,0.64,93.06,1.14,54.78
2022,12,31,8,71.31,1.01,93.1,0.55,268.39
2022,12,31,9,64.94,0.29,93.1,1.27,263.31
2022,12,31,10,63.12,0.34,93.07,1.73,263.52
2022,12,31,11,61.69,0.44,93.02,1.9,261.47
2022,12,31,12,60.5,0.49,92.96,2.09,252.79
2022,12,31,13,59.31,0.56,92.91,2.32,242.05
2022,12,31,14,58.94,0.37,92.86,2.46,232.11
2022,12,31,15,59.0,0.37,92.83,2.48,219.9
2022,12,31,16,61.31,0.33,92.82,2.46,201.26
2022,12,31,17,67.94,0.27,92.84,2.24,176.8
2022,12,31,18,82.31,0.2,92.88,2.11,150.31
2022,12,31,19,89.19,0.07,92.92,2.5,128.52
2022,12,31,20,91.94,0.03,92.95,2.81,117.99
2022,12,31,21,94.69,0.02,92.97,3.05,112.43
2022,12,31,22,97.31,0.01,92.96,2.78,107.52
2022,12,31,23,97.88,0.01,92.92,2.72,99.08
2023,1,1,0,98.0,0.01,92.88,2.65,88.14
2023,1,1,1,98.31,0.0,92.83,2.31,80.44
2023,1,1,2,98.75,0.01,92.8,1.89,75.39
2023,1,1,3,99.12,0.01,92.81,1.68,70.38
2023,1,1,4,99.25,0.02,92.84,1.58,65.72
2023,1,1,5,98.5,0.02,92.91,1.7,64.97
2023,1,1,6,93.75,0.03,92.99,2.17,65.28
2023,1,1,7,83.0,0.12,93.03,1.74,33.48
2023,1,1,8,72.12,0.16,93.04,1.4,350.07
2023,1,1,9,66.31,0.24,93.03,1.43,313.67
2023,1,1,10,63.06,0.26,93.01,1.76,289.48
2023,1,1,11,60.44,0.33,92.96,2.2,270.61
2023,1,1,12,58.88,0.33,92.9,2.64,255.76
2023,1,1,13,58.31,0.34,92.85,2.71,243.29
2023,1,1,14,58.56,0.26,92.8,2.55,226.86
2023,1,1,15,59.31,0.26,92.75,2.4,203.39
2023,1,1,16,61.69,0.25,92.72,2.57,175.99
2023,1,1,17,69.0,0.25,92.74,2.71,152.77
2023,1,1,18,81.12,0.25,92.79,2.71,136.52
2023,1,1,19,87.56,0.25,92.84,3.19,125.44
2023,1,1,20,90.25,0.25,92.9,4.07,119.57
2023,1,1,21,94.06,0.17,92.94,4.24,116.38
2023,1,1,22,95.44,0.11,92.95,4.09,114.26
2023,1,1,23,95.88,0.1,92.91,3.68,114.61
2023,1,2,0,96.5,0.07,92.84,3.27,114.55
2023,1,2,1,96.88,0.04,92.78,3.04,113.47
2023,1,2,2,97.12,0.04,92.75,2.86,112.01
2023,1,2,3,97.31,0.02,92.74,2.58,108.16
2023,1,2,4,97.94,0.02,92.74,2.15,103.63
2023,1,2,5,97.75,0.02,92.78,1.99,96.54
2023,1,2,6,92.62,0.02,92.82,2.42,81.63
2023,1,2,7,83.88,0.23,92.86,2.07,49.45
2023,1,2,8,71.38,0.32,92.86,1.96,352.45
2023,1,2,9,64.62,0.34,92.85,2.44,310.32
2023,1,2,10,62.44,0.42,92.82,2.81,299.27
2023,1,2,11,61.06,0.43,92.76,3.1,293.98
2023,1,2,12,59.06,0.47,92.69,3.06,289.36
2023,1,2,13,58.06,0.5,92.6,2.76,285.41
2023,1,2,14,58.69,0.41,92.52,2.51,281.83
2023,1,2,15,59.5,0.37,92.47,2.22,278.1
2023,1,2,16,60.88,0.4,92.44,1.92,269.07
2023,1,2,17,66.19,0.38,92.46,1.42,263.03
2023,1,2,18,72.81,0.38,92.49,0.79,286.65
2023,1,2,19,74.56,0.55,92.53,0.77,345.82
2023,1,2,20,82.62,0.57,92.55,1.37,8.22
2023,1,2,21,89.0,0.55,92.58,1.83,4.42
2023,1,2,22,91.81,0.9,92.57,2.02,357.12
2023,1,2,23,93.56,0.83,92.51,2.03,350.68
2023,1,3,0,95.38,0.67,92.43,2.0,346.23
2023,1,3,1,96.69,0.37,92.38,2.01,344.45
2023,1,3,2,97.19,0.14,92.38,2.63,345.01
2023,1,3,3,97.62,0.03,92.39,3.28,347.35
2023,1,3,4,98.0,0.02,92.43,3.28,349.57
2023,1,3,5,97.94,0.02,92.5,3.25,348.47
2023,1,3,6,95.56,0.02,92.57,4.01,342.91
2023,1,3,7,89.06,0.08,92.63,4.82,329.74
2023,1,3,8,80.44,0.24,92.66,5.57,322.63
2023,1,3,9,74.19,0.1,92.67,6.09,323.03
2023,1,3,10,68.81,0.1,92.64,6.56,323.28
2023,1,3,11,66.25,0.11,92.6,6.8,322.75
2023,1,3,12,65.56,0.18,92.53,6.82,321.88
2023,1,3,13,64.5,0.27,92.48,6.81,320.96
2023,1,3,14,63.25,0.27,92.44,6.65,319.76
2023,1,3,15,64.0,0.3,92.41,6.24,319.06
2023,1,3,16,68.5,0.33,92.42,5.49,319.5
2023,1,3,17,76.06,0.31,92.45,4.22,322.6
2023,1,3,18,87.88,0.33,92.48,2.39,329.74
2023,1,3,19,93.62,0.27,92.52,2.15,335.02
2023,1,3,20,94.75,0.25,92.55,2.2,339.9
2023,1,3,21,95.62,0.21,92.56,2.34,346.29
2023,1,3,22,96.19,0.13,92.54,2.57,352.31
2023,1,3,23,96.69,0.16,92.52,2.82,342.12
2023,1,4,0,97.5,0.23,92.51,2.94,332.07
2023,1,4,1,97.88,0.24,92.44,2.89,337.45
2023,1,4,2,97.94,0.23,92.38,3.24,343.31
2023,1,4,3,97.94,0.18,92.38,3.18,338.98
2023,1,4,4,98.06,0.11,92.42,2.81,334.79
2023,1,4,5,97.88,0.06,92.49,2.68,338.23
2023,1,4,6,96.75,0.03,92.54,3.43,343.75
2023,1,4,7,94.38,0.03,92.56,4.24,335.04
2023,1,4,8,87.06,0.02,92.57,5.25,325.48
2023,1,4,9,75.31,0.01,92.59,6.04,318.14
2023,1,4,10,68.88,0.02,92.58,6.53,314.9
2023,1,4,11,66.56,0.12,92.54,6.85,313.34
2023,1,4,12,67.06,0.35,92.5,6.79,311.13
2023,1,4,13,68.0,0.73,92.46,6.14,308.49
2023,1,4,14,69.75,1.51,92.43,4.99,307.1
2023,1,4,15,73.25,1.76,92.39,3.67,309.12
2023,1,4,16,81.0,2.11,92.36,2.52,318.01
2023,1,4,17,90.12,3.3,92.37,2.0,333.33
2023,1,4,18,95.31,4.04,92.43,1.57,351.43
2023,1,4,19,97.31,3.76,92.52,1.02,12.43
2023,1,4,20,97.5,3.06,92.56,1.04,54.16
2023,1,4,21,96.81,1.55,92.56,2.01,92.9
2023,1,4,22,96.25,1.36,92.53,3.6,109.54
2023,1,4,23,96.31,1.41,92.47,4.3,121.32
2023,1,5,0,96.12,1.12,92.4,4.15,131.56
2023,1,5,1,96.06,0.7,92.35,3.6,150.21
2023,1,5,2,95.81,0.43,92.36,3.7,167.43
2023,1,5,3,95.62,0.38,92.43,3.9,165.96
2023,1,5,4,95.5,0.51,92.5,4.11,158.26
2023,1,5,5,95.5,0.6,92.59,4.15,156.33
2023,1,5,6,93.94,0.71,92.65,4.9,154.5
2023,1,5,7,90.0,0.92,92.71,5.78,149.97
2023,1,5,8,83.94,0.98,92.75,6.01,145.59
2023,1,5,9,77.56,0.17,92.77,5.76,141.06
2023,1,5,10,72.12,0.12,92.76,5.24,137.9
2023,1,5,11,69.25,0.13,92.73,4.65,138.68
2023,1,5,12,68.0,0.18,92.7,4.26,144.03
2023,1,5,13,68.06,0.23,92.68,4.25,150.09
2023,1,5,14,68.94,0.27,92.66,4.65,151.63
2023,1,5,15,70.88,0.37,92.66,5.2,149.58
2023,1,5,16,74.88,0.51,92.67,5.61,147.46
2023,1,5,17,80.75,0.56,92.73,5.66,145.81
2023,1,5,18,87.19,0.29,92.8,5.56,143.63
2023,1,5,19,91.81,0.14,92.86,5.39,142.6
2023,1,5,20,93.38,0.11,92.9,5.37,143.76
2023,1,5,21,94.06,0.15,92.95,5.32,143.79
2023,1,5,22,94.5,0.23,92.94,5.29,142.62
2023,1,5,23,94.75,0.26,92.9,5.47,140.79
2023,1,6,0,94.75,0.22,92.85,5.53,139.93
2023,1,6,1,94.75,0.15,92.81,5.63,139.67
2023,1,6,2,94.75,0.1,92.79,5.56,139.84
2023,1,6,3,94.81,0.06,92.8,5.46,138.37
2023,1,6,4,94.75,0.05,92.83,5.35,135.41
2023,1,6,5,94.62,0.06,92.88,5.27,133.56
2023,1,6,6,92.38,0.08,92.93,5.99,130.77
2023,1,6,7,85.75,0.09,92.98,6.73,126.83
2023,1,6,8,77.12,0.11,93.03,6.75,124.39
2023,1,6,9,70.75,0.09,93.05,6.44,123.67
2023,1,6,10,67.06,0.17,93.05,6.1,125.03
2023,1,6,11,65.06,0.25,93.01,5.91,127.81
2023,1,6,12,64.62,0.26,92.97,5.97,130.49
2023,1,6,13,64.62,0.24,92.94,6.29,132.83
2023,1,6,14,65.19,0.19,92.92,6.72,134.81
2023,1,6,15,66.12,0.13,92.92,7.19,135.66
2023,1,6,16,69.25,0.07,92.94,7.51,136.22
2023,1,6,17,74.5,0.03,93.0,7.62,136.37
2023,1,6,18,82.94,0.03,93.09,6.9,137.57
2023,1,6,19,90.94,0.02,93.15,6.03,138.73
2023,1,6,20,94.0,0.02,93.19,5.81,139.37
2023,1,6,21,94.94,0.02,93.23,5.78,139.05
2023,1,6,22,95.31,0.02,93.22,5.6,138.05
2023,1,6,23,95.69,0.02,93.2,5.13,136.54
2023,1,7,0,95.88,0.02,93.16,4.69,136.49
2023,1,7,1,96.0,0.03,93.09,4.74,137.47
2023,1,7,2,96.06,0.03,93.01,4.97,137.48
2023,1,7,3,95.81,0.03,92.98,5.0,136.46
2023,1,7,4,95.56,0.02,93.0,4.9,133.97
2023,1,7,5,95.44,0.02,93.08,4.55,131.8
2023,1,7,6,92.88,0.02,93.17,5.1,128.41
2023,1,7,7,86.56,0.04,93.22,5.95,122.67
2023,1,7,8,80.06,0.04,93.26,5.93,119.6
2023,1,7,9,73.88,0.02,93.27,5.75,119.28
2023,1,7,10,69.06,0.02,93.25,5.55,121.23
2023,1,7,11,66.25,0.02,93.2,5.49,125.73
2023,1,7,12,64.88,0.02,93.15,5.67,131.59
2023,1,7,13,64.75,0.02,93.11,6.04,136.52
2023,1,7,14,65.56,0.02,93.09,6.55,139.16
2023,1,7,15,68.5,0.01,93.08,6.9,140.14
2023,1,7,16,72.69,0.01,93.1,7.22,140.54
2023,1,7,17,77.62,0.01,93.14,7.38,140.24
2023,1,7,18,82.81,0.0,93.18,6.91,139.54
2023,1,7,19,87.19,0.0,93.2,6.19,139.19
2023,1,7,20,89.62,0.0,93.23,5.91,136.98
2023,1,7,21,91.44,0.0,93.25,5.62,135.06
2023,1,7,22,93.19,0.0,93.24,5.38,134.18
2023,1,7,23,94.75,0.0,93.18,5.07,132.56
2023,1,8,0,95.94,0.0,93.11,5.0,127.32
2023,1,8,1,96.56,0.0,93.04,4.7,124.43
2023,1,8,2,96.69,0.0,92.99,4.33,126.04
2023,1,8,3,96.81,0.0,92.98,4.01,128.28
2023,1,8,4,96.94,0.0,93.01,3.99,125.93
2023,1,8,5,96.56,0.0,93.06,4.19,120.96
2023,1,8,6,90.12,0.0,93.11,4.92,116.4
2023,1,8,7,80.0,0.0,93.16,5.05,106.36
2023,1,8,8,72.38,0.0,93.2,4.23,93.39
2023,1,8,9,67.75,0.01,93.21,2.97,77.06
2023,1,8,10,65.5,0.04,93.18,1.75,55.74
2023,1,8,11,63.25,0.08,93.11,0.87,22.66
2023,1,8,12,61.44,0.1,93.02,0.54,315.0
2023,1,8,13,60.19,0.11,92.94,0.69,240.26
2023,1,8,14,60.81,0.11,92.88,1.42,185.99
2023,1,8,15,63.81,0.1,92.85,2.75,161.31
2023,1,8,16,69.12,0.08,92.84,4.19,148.41
2023,1,8,17,76.69,0.04,92.87,5.34,139.63
2023,1,8,18,83.62,0.03,92.94,6.08,134.58
2023,1,8,19,88.56,0.02,93.0,6.31,132.54
2023,1,8,20,91.5,0.02,93.06,5.89,132.53
